point_id,easting_m,northing_m,lon_wgs84,lat_wgs84,dsm_obs_m,chm_true_m,sensor_type
LIDAR_044,727310.0,4706160.0,-72.234754,42.474436,240.2300,6.1700,Lidar-DSM
LIDAR_045,727540.0,4706790.0,-72.231709,42.480035,222.3300,27.6000,Lidar-DSM
LIDAR_046,727830.0,4706920.0,-72.228134,42.481120,247.9800,22.1400,Lidar-DSM
LIDAR_047,727330.0,4706330.0,-72.234444,42.475959,248.6600,22.7500,Lidar-DSM
LIDAR_048,727060.0,4706560.0,-72.237634,42.478107,220.6500,20.7100,Lidar-DSM
LIDAR_049,727210.0,4706430.0,-72.235862,42.476894,237.9900,19.9900,Lidar-DSM
LIDAR_050,727580.0,4706360.0,-72.231394,42.476156,235.5600,21.8500,Lidar-DSM
LIDAR_051,727200.0,4706310.0,-72.236031,42.475817,244.3800,20.6100,Lidar-DSM
LIDAR_052,727550.0,4706980.0,-72.231513,42.481742,219.3600,28.0300,Lidar-DSM
LIDAR_053,727810.0,4706070.0,-72.228714,42.473479,269.8100,24.3500,Lidar-DSM
LIDAR_054,727490.0,4706810.0,-72.232309,42.480230,220.1000,27.3400,Lidar-DSM
LIDAR_055,727600.0,4706230.0,-72.231203,42.474980,228.6700,8.1300,Lidar-DSM
LIDAR_056,727970.0,4706710.0,-72.226516,42.479189,261.2300,22.5600,Lidar-DSM
LIDAR_057,727760.0,4706950.0,-72.228972,42.481410,237.2300,19.7900,Lidar-DSM
LIDAR_058,727660.0,4706690.0,-72.230291,42.479101,213.4700,7.1100,Lidar-DSM
LIDAR_059,727780.0,4706420.0,-72.228940,42.476637,253.1200,28.1200,Lidar-DSM
LIDAR_060,727310.0,4706450.0,-72.234639,42.477045,236.0600,18.0400,Lidar-DSM
LIDAR_061,727770.0,4706620.0,-72.228982,42.478439,232.2500,16.7500,Lidar-DSM
LIDAR_062,727400.0,4706630.0,-72.233474,42.478637,230.6300,30.3700,Lidar-DSM
LIDAR_063,727300.0,4706430.0,-72.234769,42.476868,238.1900,18.5800,Lidar-DSM
LIDAR_064,727890.0,4706610.0,-72.227528,42.478313,232.8000,20.1100,Lidar-DSM
LIDAR_065,727780.0,4706270.0,-72.228999,42.475287,253.2900,19.1800,Lidar-DSM
LIDAR_066,727130.0,4706640.0,-72.236751,42.478806,227.7900,29.4500,Lidar-DSM
LIDAR_067,727180.0,4706660.0,-72.236136,42.478972,224.0600,24.4500,Lidar-DSM
LIDAR_068,727900.0,4706760.0,-72.227347,42.479660,253.1500,22.3100,Lidar-DSM
LIDAR_069,727370.0,4706450.0,-72.233910,42.477027,244.2300,27.8100,Lidar-DSM
LIDAR_070,727910.0,4706420.0,-72.227360,42.476598,238.0800,22.1200,Lidar-DSM
LIDAR_071,727450.0,4706060.0,-72.233093,42.473495,243.3700,17.9700,Lidar-DSM
LIDAR_072,727950.0,4706650.0,-72.226783,42.478656,255.7400,22.2200,Lidar-DSM
LIDAR_073,727540.0,4706570.0,-72.231797,42.478056,224.3900,21.9200,Lidar-DSM
LIDAR_074,727090.0,4706120.0,-72.237443,42.474141,253.6900,28.9300,Lidar-DSM
LIDAR_075,727690.0,4706670.0,-72.229934,42.478912,229.0100,18.7800,Lidar-DSM
LIDAR_076,727980.0,4706270.0,-72.226569,42.475229,242.0500,19.1500,Lidar-DSM
LIDAR_077,727230.0,4706090.0,-72.235754,42.473830,252.9500,14.4700,Lidar-DSM
LIDAR_078,727310.0,4706540.0,-72.234604,42.477854,230.5900,21.2500,Lidar-DSM
LIDAR_079,727400.0,4706190.0,-72.233649,42.474679,248.1300,21.8200,Lidar-DSM
LIDAR_080,727710.0,4706440.0,-72.229783,42.476837,250.5900,22.8700,Lidar-DSM
LIDAR_081,727240.0,4706600.0,-72.235430,42.478414,234.2400,29.3000,Lidar-DSM
LIDAR_082,727200.0,4706080.0,-72.236123,42.473749,255.3800,17.7600,Lidar-DSM
LIDAR_083,727000.0,4706430.0,-72.238414,42.476956,235.5900,17.7400,Lidar-DSM
LIDAR_084,727390.0,4706700.0,-72.233568,42.479270,216.2100,19.6400,Lidar-DSM
LIDAR_085,727390.0,4706020.0,-72.233838,42.473153,254.4700,22.2700,Lidar-DSM
LIDAR_086,727110.0,4706130.0,-72.237196,42.474225,248.5100,21.0000,Lidar-DSM
LIDAR_087,727650.0,4706450.0,-72.230508,42.476945,232.6300,15.6900,Lidar-DSM
LIDAR_088,727630.0,4706480.0,-72.230739,42.477220,223.6800,10.6300,Lidar-DSM
LIDAR_089,727880.0,4706640.0,-72.227637,42.478586,231.5400,20.0000,Lidar-DSM
LIDAR_090,727070.0,4706490.0,-72.237540,42.477475,208.8100,6.6200,Lidar-DSM
LIDAR_091,727040.0,4706820.0,-72.237774,42.480452,211.0200,18.0300,Lidar-DSM
LIDAR_092,727570.0,4706930.0,-72.231289,42.481286,221.5900,30.0900,Lidar-DSM
LIDAR_093,727820.0,4706250.0,-72.228521,42.475096,250.0700,15.5400,Lidar-DSM
LIDAR_094,727010.0,4706630.0,-72.238214,42.478752,230.7100,23.7000,Lidar-DSM
LIDAR_095,727220.0,4706450.0,-72.235733,42.477071,232.1000,15.3000,Lidar-DSM
LIDAR_096,727590.0,4706850.0,-72.231078,42.480561,218.6400,20.3500,Lidar-DSM
LIDAR_097,727910.0,4706630.0,-72.227277,42.478487,246.3900,22.3300,Lidar-DSM
